rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,roast,aroma,body,flavor,month,year,region
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2018,region_africa_arabia
92.0,0,0,1,0,0,0,1,0,0,0,0,0,1,Medium,9.0,8.0,9.0,November,2018,region_central_america
96.0,1,0,0,1,0,0,0,0,1,0,0,0,1,Medium,9.0,9.0,10.0,November,2018,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2018,region_africa_arabia
95.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,November,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2018,region_africa_arabia
90.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,8.0,November,2018,region_central_america
90.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium,8.0,8.0,8.0,November,2018,region_africa_arabia
90.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium,8.0,8.0,8.0,November,2018,region_africa_arabia
95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
94.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,November,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,9.0,9.0,9.0,November,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,November,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,8.0,9.0,9.0,November,2018,region_central_america
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,November,2018,region_central_america
90.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Light,8.0,8.0,9.0,November,2018,region_central_america
92.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,8.0,8.0,9.0,November,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,November,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,8.0,8.0,8.0,November,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,1,1,0,0,0,0,Medium,9.0,8.0,9.0,November,2018,region_central_america
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,8.0,8.0,9.0,November,2018,region_africa_arabia
91.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,November,2018,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,November,2018,region_africa_arabia
91.0,0,0,0,0,1,0,1,0,0,0,0,0,0,Medium,8.0,8.0,8.0,November,2018,region_asia_pacific
90.0,0,0,0,0,1,0,1,0,0,0,0,0,0,Medium,8.0,8.0,8.0,November,2018,region_asia_pacific
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2018,region_central_america
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2018,region_central_america
96.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,10.0,October,2018,region_central_america
96.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,October,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_central_america
91.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,October,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
96.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,10.0,October,2018,region_central_america
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,October,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,1,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Dark,9.0,9.0,9.0,October,2018,region_africa_arabia
94.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Dark,9.0,8.0,9.0,October,2018,region_africa_arabia
93.0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Dark,9.0,8.0,9.0,October,2018,region_africa_arabia
96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,10.0,October,2018,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,1,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2018,region_central_america
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,October,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,October,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,October,2018,region_central_america
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2018,region_africa_arabia
90.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,September,2018,region_central_america
95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2018,region_africa_arabia
91.0,0,0,0,0,0,1,0,1,1,0,0,0,0,Medium-Light,8.0,8.0,9.0,September,2018,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2018,region_africa_arabia
93.0,0,0,1,0,0,0,0,1,0,0,0,0,1,Light,9.0,9.0,9.0,September,2018,region_central_america
96.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,10.0,September,2018,region_central_america
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,September,2018,region_africa_arabia
92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2018,region_asia_pacific
94.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2018,region_africa_arabia
94.0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,September,2018,region_central_america
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,September,2018,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,9.0,9.0,9.0,September,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,September,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,September,2018,region_africa_arabia
95.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,September,2018,region_central_america
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,September,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium,9.0,8.0,9.0,August,2018,region_central_america
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,August,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,August,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium,9.0,9.0,9.0,August,2018,region_africa_arabia
94.0,1,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,1,0,0,Very Dark,8.0,8.0,9.0,August,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
93.0,0,0,1,0,0,0,0,1,1,0,0,0,0,Medium-Light,9.0,9.0,9.0,August,2018,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,August,2018,region_africa_arabia
94.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,August,2018,region_africa_arabia
92.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,August,2018,region_central_america
91.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,8.0,August,2018,region_africa_arabia
93.0,0,0,0,0,0,1,1,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,August,2018,region_africa_arabia
92.0,0,0,1,0,0,0,1,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,August,2018,region_central_america
92.0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,August,2018,region_central_america
91.0,0,0,0,0,0,1,1,0,0,0,0,0,0,Medium,8.0,8.0,8.0,August,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Light,9.0,9.0,9.0,August,2018,region_africa_arabia
94.0,0,0,1,0,0,0,1,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,August,2018,region_central_america
94.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
93.0,1,0,0,0,0,0,1,1,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,August,2018,region_africa_arabia
95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Dark,9.0,9.0,9.0,August,2018,region_africa_arabia
94.0,1,0,0,0,0,0,1,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
95.0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium,9.0,9.0,9.0,August,2018,region_central_america
94.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,9.0,9.0,9.0,August,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,August,2018,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,August,2018,region_central_america
93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,9.0,9.0,August,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,August,2018,region_africa_arabia
90.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,August,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,August,2018,region_africa_arabia
91.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,August,2018,region_central_america
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,August,2018,region_central_america
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,August,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,9.0,9.0,July,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,1,Light,9.0,9.0,9.0,July,2018,region_africa_arabia
94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,July,2018,region_asia_pacific
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,July,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,8.0,9.0,8.0,July,2018,region_africa_arabia
93.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,July,2018,region_asia_pacific
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,9.0,9.0,July,2018,region_africa_arabia
90.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,8.0,July,2018,region_africa_arabia
91.0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,July,2018,region_africa_arabia
92.0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,8.0,8.0,July,2018,region_africa_arabia
92.0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium,8.0,9.0,8.0,July,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,July,2018,region_africa_arabia
95.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,9.0,9.0,9.0,June,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_africa_arabia
93.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_asia_pacific
92.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,8.0,June,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Light,9.0,8.0,9.0,June,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,8.0,June,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,1,0,0,0,0,Medium-Light,8.0,9.0,8.0,June,2018,region_africa_arabia
90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,June,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_africa_arabia
94.0,1,0,0,0,0,0,0,1,1,0,0,0,0,Medium-Light,9.0,9.0,9.0,June,2018,region_africa_arabia
93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium,9.0,8.0,9.0,June,2018,region_africa_arabia
92.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,June,2018,region_africa_arabia
93.0,0,0,1,0,0,0,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,May,2018,region_central_america
95.0,1,0,0,0,0,0,1,0,0,0,0,0,0,Medium-Light,9.0,9.0,9.0,May,2018,region_africa_arabia
93.0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium-Light,9.0,8.0,9.0,May,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,9.0,8.0,9.0,May,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,9.0,8.0,9.0,May,2018,region_africa_arabia
95.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,9.0,9.0,May,2018,region_africa_arabia
91.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,May,2018,region_africa_arabia
92.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,9.0,8.0,9.0,May,2018,region_africa_arabia
92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,May,2018,region_africa_arabia
91.0,0,0,0,0,0,1,0,0,0,0,0,0,1,Medium-Light,8.0,8.0,9.0,May,2018,region_africa_arabia
91.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,May,2018,region_africa_arabia
91.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,8.0,8.0,9.0,May,2018,region_africa_arabia
90.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium-Light,9.0,7.0,8.0,May,2018,region_africa_arabia
